dataset,arch,method,method_label,regularizer,reg_coeff,weight_decay,seed,L,train_T,test_T,if_mode,spike_schedule,noise_position,noise_type,sigma,acc,checkpoint,matrix_csv
fashion_mnist,cnn2_c4_c8,old_detach,Old MNE (detach λ),mne_l2,0p0001,0.0,42,16,0,16,rate_uniform,normal,post_input_if,gaussian,1.5,33.630000,fashion_mnist-checkpoints/cnn2_c4_c8_L[16]_fashion_spectral_mne_cnn2_c4_c8_old_detach_rc0p0001_seed42_ep30_L16_trainT0.pth,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/important_results/fashion_cnn2_widths_four_regs_sigma0_3_seed42/cnn2_c4_c8/old_detach/seed_42/noise_sweep_matrix_fashion_mnist_cnn2_c4_c8_T16_mode_rate_uniform_schedule_normal_seed_42.csv
fashion_mnist,cnn2_c4_c8,old_detach,Old MNE (detach λ),mne_l2,0p0001,0.0,42,16,0,16,rate_uniform,normal,post_input_if,gaussian,1.75,26.100000,fashion_mnist-checkpoints/cnn2_c4_c8_L[16]_fashion_spectral_mne_cnn2_c4_c8_old_detach_rc0p0001_seed42_ep30_L16_trainT0.pth,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/important_results/fashion_cnn2_widths_four_regs_sigma0_3_seed42/cnn2_c4_c8/old_detach/seed_42/noise_sweep_matrix_fashion_mnist_cnn2_c4_c8_T16_mode_rate_uniform_schedule_normal_seed_42.csv
fashion_mnist,cnn2_c4_c8,old_detach,Old MNE (detach λ),mne_l2,0p0001,0.0,42,16,0,16,rate_uniform,normal,post_input_if,gaussian,2,20.510000,fashion_mnist-checkpoints/cnn2_c4_c8_L[16]_fashion_spectral_mne_cnn2_c4_c8_old_detach_rc0p0001_seed42_ep30_L16_trainT0.pth,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/important_results/fashion_cnn2_widths_four_regs_sigma0_3_seed42/cnn2_c4_c8/old_detach/seed_42/noise_sweep_matrix_fashion_mnist_cnn2_c4_c8_T16_mode_rate_uniform_schedule_normal_seed_42.csv
fashion_mnist,cnn2_c4_c8,old_detach,Old MNE (detach λ),mne_l2,0p0001,0.0,42,16,0,16,rate_uniform,normal,post_input_if,gaussian,2.25,17.670000,fashion_mnist-checkpoints/cnn2_c4_c8_L[16]_fashion_spectral_mne_cnn2_c4_c8_old_detach_rc0p0001_seed42_ep30_L16_trainT0.pth,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/important_results/fashion_cnn2_widths_four_regs_sigma0_3_seed42/cnn2_c4_c8/old_detach/seed_42/noise_sweep_matrix_fashion_mnist_cnn2_c4_c8_T16_mode_rate_uniform_schedule_normal_seed_42.csv
fashion_mnist,cnn2_c4_c8,old_detach,Old MNE (detach λ),mne_l2,0p0001,0.0,42,16,0,16,rate_uniform,normal,post_input_if,gaussian,2.5,16.650000,fashion_mnist-checkpoints/cnn2_c4_c8_L[16]_fashion_spectral_mne_cnn2_c4_c8_old_detach_rc0p0001_seed42_ep30_L16_trainT0.pth,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/important_results/fashion_cnn2_widths_four_regs_sigma0_3_seed42/cnn2_c4_c8/old_detach/seed_42/noise_sweep_matrix_fashion_mnist_cnn2_c4_c8_T16_mode_rate_uniform_schedule_normal_seed_42.csv
fashion_mnist,cnn2_c4_c8,old_detach,Old MNE (detach λ),mne_l2,0p0001,0.0,42,16,0,16,rate_uniform,normal,post_input_if,gaussian,2.75,15.220000,fashion_mnist-checkpoints/cnn2_c4_c8_L[16]_fashion_spectral_mne_cnn2_c4_c8_old_detach_rc0p0001_seed42_ep30_L16_trainT0.pth,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/important_results/fashion_cnn2_widths_four_regs_sigma0_3_seed42/cnn2_c4_c8/old_detach/seed_42/noise_sweep_matrix_fashion_mnist_cnn2_c4_c8_T16_mode_rate_uniform_schedule_normal_seed_42.csv
fashion_mnist,cnn2_c4_c8,old_detach,Old MNE (detach λ),mne_l2,0p0001,0.0,42,16,0,16,rate_uniform,normal,post_input_if,gaussian,3,14.110000,fashion_mnist-checkpoints/cnn2_c4_c8_L[16]_fashion_spectral_mne_cnn2_c4_c8_old_detach_rc0p0001_seed42_ep30_L16_trainT0.pth,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/important_results/fashion_cnn2_widths_four_regs_sigma0_3_seed42/cnn2_c4_c8/old_detach/seed_42/noise_sweep_matrix_fashion_mnist_cnn2_c4_c8_T16_mode_rate_uniform_schedule_normal_seed_42.csv
fashion_mnist,cnn2_c4_c8,calibrated_mne_a0p1,Calibrated MNE (α=0.1),calibrated_mne_l2,0p0005,0.0,42,16,0,16,rate_uniform,normal,post_input_if,gaussian,0,85.020000,fashion_mnist-checkpoints/cnn2_c4_c8_L[16]_fashion_calibrated_mne_cnn2_c4_c8_cmne_a0p1_seed42_ep30_L16.pth,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/important_results/fashion_cnn2_widths_four_regs_sigma0_3_seed42/cnn2_c4_c8/calibrated_mne_a0p1/seed_42/noise_sweep_matrix_fashion_mnist_cnn2_c4_c8_T16_mode_rate_uniform_schedule_normal_seed_42.csv
fashion_mnist,cnn2_c4_c8,calibrated_mne_a0p1,Calibrated MNE (α=0.1),calibrated_mne_l2,0p0005,0.0,42,16,0,16,rate_uniform,normal,post_input_if,gaussian,0.25,82.670000,fashion_mnist-checkpoints/cnn2_c4_c8_L[16]_fashion_calibrated_mne_cnn2_c4_c8_cmne_a0p1_seed42_ep30_L16.pth,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/important_results/fashion_cnn2_widths_four_regs_sigma0_3_seed42/cnn2_c4_c8/calibrated_mne_a0p1/seed_42/noise_sweep_matrix_fashion_mnist_cnn2_c4_c8_T16_mode_rate_uniform_schedule_normal_seed_42.csv
fashion_mnist,cnn2_c4_c8,calibrated_mne_a0p1,Calibrated MNE (α=0.1),calibrated_mne_l2,0p0005,0.0,42,16,0,16,rate_uniform,normal,post_input_if,gaussian,0.5,77.950000,fashion_mnist-checkpoints/cnn2_c4_c8_L[16]_fashion_calibrated_mne_cnn2_c4_c8_cmne_a0p1_seed42_ep30_L16.pth,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/important_results/fashion_cnn2_widths_four_regs_sigma0_3_seed42/cnn2_c4_c8/calibrated_mne_a0p1/seed_42/noise_sweep_matrix_fashion_mnist_cnn2_c4_c8_T16_mode_rate_uniform_schedule_normal_seed_42.csv
fashion_mnist,cnn2_c4_c8,calibrated_mne_a0p1,Calibrated MNE (α=0.1),calibrated_mne_l2,0p0005,0.0,42,16,0,16,rate_uniform,normal,post_input_if,gaussian,0.75,69.760000,fashion_mnist-checkpoints/cnn2_c4_c8_L[16]_fashion_calibrated_mne_cnn2_c4_c8_cmne_a0p1_seed42_ep30_L16.pth,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/important_results/fashion_cnn2_widths_four_regs_sigma0_3_seed42/cnn2_c4_c8/calibrated_mne_a0p1/seed_42/noise_sweep_matrix_fashion_mnist_cnn2_c4_c8_T16_mode_rate_uniform_schedule_normal_seed_42.csv
fashion_mnist,cnn2_c4_c8,calibrated_mne_a0p1,Calibrated MNE (α=0.1),calibrated_mne_l2,0p0005,0.0,42,16,0,16,rate_uniform,normal,post_input_if,gaussian,1,55.030000,fashion_mnist-checkpoints/cnn2_c4_c8_L[16]_fashion_calibrated_mne_cnn2_c4_c8_cmne_a0p1_seed42_ep30_L16.pth,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/important_results/fashion_cnn2_widths_four_regs_sigma0_3_seed42/cnn2_c4_c8/calibrated_mne_a0p1/seed_42/noise_sweep_matrix_fashion_mnist_cnn2_c4_c8_T16_mode_rate_uniform_schedule_normal_seed_42.csv
fashion_mnist,cnn2_c4_c8,calibrated_mne_a0p1,Calibrated MNE (α=0.1),calibrated_mne_l2,0p0005,0.0,42,16,0,16,rate_uniform,normal,post_input_if,gaussian,1.25,40.210000,fashion_mnist-checkpoints/cnn2_c4_c8_L[16]_fashion_calibrated_mne_cnn2_c4_c8_cmne_a0p1_seed42_ep30_L16.pth,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/important_results/fashion_cnn2_widths_four_regs_sigma0_3_seed42/cnn2_c4_c8/calibrated_mne_a0p1/seed_42/noise_sweep_matrix_fashion_mnist_cnn2_c4_c8_T16_mode_rate_uniform_schedule_normal_seed_42.csv
fashion_mnist,cnn2_c4_c8,calibrated_mne_a0p1,Calibrated MNE (α=0.1),calibrated_mne_l2,0p0005,0.0,42,16,0,16,rate_uniform,normal,post_input_if,gaussian,1.5,27.730000,fashion_mnist-checkpoints/cnn2_c4_c8_L[16]_fashion_calibrated_mne_cnn2_c4_c8_cmne_a0p1_seed42_ep30_L16.pth,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/important_results/fashion_cnn2_widths_four_regs_sigma0_3_seed42/cnn2_c4_c8/calibrated_mne_a0p1/seed_42/noise_sweep_matrix_fashion_mnist_cnn2_c4_c8_T16_mode_rate_uniform_schedule_normal_seed_42.csv
fashion_mnist,cnn2_c4_c8,calibrated_mne_a0p1,Calibrated MNE (α=0.1),calibrated_mne_l2,0p0005,0.0,42,16,0,16,rate_uniform,normal,post_input_if,gaussian,1.75,21.310000,fashion_mnist-checkpoints/cnn2_c4_c8_L[16]_fashion_calibrated_mne_cnn2_c4_c8_cmne_a0p1_seed42_ep30_L16.pth,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/important_results/fashion_cnn2_widths_four_regs_sigma0_3_seed42/cnn2_c4_c8/calibrated_mne_a0p1/seed_42/noise_sweep_matrix_fashion_mnist_cnn2_c4_c8_T16_mode_rate_uniform_schedule_normal_seed_42.csv
fashion_mnist,cnn2_c4_c8,calibrated_mne_a0p1,Calibrated MNE (α=0.1),calibrated_mne_l2,0p0005,0.0,42,16,0,16,rate_uniform,normal,post_input_if,gaussian,2,16.810000,fashion_mnist-checkpoints/cnn2_c4_c8_L[16]_fashion_calibrated_mne_cnn2_c4_c8_cmne_a0p1_seed42_ep30_L16.pth,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/important_results/fashion_cnn2_widths_four_regs_sigma0_3_seed42/cnn2_c4_c8/calibrated_mne_a0p1/seed_42/noise_sweep_matrix_fashion_mnist_cnn2_c4_c8_T16_mode_rate_uniform_schedule_normal_seed_42.csv
fashion_mnist,cnn2_c4_c8,calibrated_mne_a0p1,Calibrated MNE (α=0.1),calibrated_mne_l2,0p0005,0.0,42,16,0,16,rate_uniform,normal,post_input_if,gaussian,2.25,14.950000,fashion_mnist-checkpoints/cnn2_c4_c8_L[16]_fashion_calibrated_mne_cnn2_c4_c8_cmne_a0p1_seed42_ep30_L16.pth,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/important_results/fashion_cnn2_widths_four_regs_sigma0_3_seed42/cnn2_c4_c8/calibrated_mne_a0p1/seed_42/noise_sweep_matrix_fashion_mnist_cnn2_c4_c8_T16_mode_rate_uniform_schedule_normal_seed_42.csv
fashion_mnist,cnn2_c4_c8,calibrated_mne_a0p1,Calibrated MNE (α=0.1),calibrated_mne_l2,0p0005,0.0,42,16,0,16,rate_uniform,normal,post_input_if,gaussian,2.5,13.780000,fashion_mnist-checkpoints/cnn2_c4_c8_L[16]_fashion_calibrated_mne_cnn2_c4_c8_cmne_a0p1_seed42_ep30_L16.pth,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/important_results/fashion_cnn2_widths_four_regs_sigma0_3_seed42/cnn2_c4_c8/calibrated_mne_a0p1/seed_42/noise_sweep_matrix_fashion_mnist_cnn2_c4_c8_T16_mode_rate_uniform_schedule_normal_seed_42.csv
fashion_mnist,cnn2_c4_c8,calibrated_mne_a0p1,Calibrated MNE (α=0.1),calibrated_mne_l2,0p0005,0.0,42,16,0,16,rate_uniform,normal,post_input_if,gaussian,2.75,12.930000,fashion_mnist-checkpoints/cnn2_c4_c8_L[16]_fashion_calibrated_mne_cnn2_c4_c8_cmne_a0p1_seed42_ep30_L16.pth,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/important_results/fashion_cnn2_widths_four_regs_sigma0_3_seed42/cnn2_c4_c8/calibrated_mne_a0p1/seed_42/noise_sweep_matrix_fashion_mnist_cnn2_c4_c8_T16_mode_rate_uniform_schedule_normal_seed_42.csv
fashion_mnist,cnn2_c4_c8,calibrated_mne_a0p1,Calibrated MNE (α=0.1),calibrated_mne_l2,0p0005,0.0,42,16,0,16,rate_uniform,normal,post_input_if,gaussian,3,12.490000,fashion_mnist-checkpoints/cnn2_c4_c8_L[16]_fashion_calibrated_mne_cnn2_c4_c8_cmne_a0p1_seed42_ep30_L16.pth,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/important_results/fashion_cnn2_widths_four_regs_sigma0_3_seed42/cnn2_c4_c8/calibrated_mne_a0p1/seed_42/noise_sweep_matrix_fashion_mnist_cnn2_c4_c8_T16_mode_rate_uniform_schedule_normal_seed_42.csv
fashion_mnist,cnn2_c8_c16,weight_decay,L2-all (all params),weight_decay,none,0.0005,42,16,0,16,rate_uniform,normal,post_input_if,gaussian,0,87.860000,fashion_mnist-checkpoints/cnn2_c8_c16_L[16]_fashion_spectral_mne_cnn2_c8_c16_l2_rcnone_seed42_ep30_L16_trainT0.pth,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/important_results/fashion_cnn2_widths_four_regs_sigma0_3_seed42/cnn2_c8_c16/weight_decay/seed_42/noise_sweep_matrix_fashion_mnist_cnn2_c8_c16_T16_mode_rate_uniform_schedule_normal_seed_42.csv
fashion_mnist,cnn2_c8_c16,weight_decay,L2-all (all params),weight_decay,none,0.0005,42,16,0,16,rate_uniform,normal,post_input_if,gaussian,0.25,85.240000,fashion_mnist-checkpoints/cnn2_c8_c16_L[16]_fashion_spectral_mne_cnn2_c8_c16_l2_rcnone_seed42_ep30_L16_trainT0.pth,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/important_results/fashion_cnn2_widths_four_regs_sigma0_3_seed42/cnn2_c8_c16/weight_decay/seed_42/noise_sweep_matrix_fashion_mnist_cnn2_c8_c16_T16_mode_rate_uniform_schedule_normal_seed_42.csv
fashion_mnist,cnn2_c8_c16,weight_decay,L2-all (all params),weight_decay,none,0.0005,42,16,0,16,rate_uniform,normal,post_input_if,gaussian,0.5,75.780000,fashion_mnist-checkpoints/cnn2_c8_c16_L[16]_fashion_spectral_mne_cnn2_c8_c16_l2_rcnone_seed42_ep30_L16_trainT0.pth,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/important_results/fashion_cnn2_widths_four_regs_sigma0_3_seed42/cnn2_c8_c16/weight_decay/seed_42/noise_sweep_matrix_fashion_mnist_cnn2_c8_c16_T16_mode_rate_uniform_schedule_normal_seed_42.csv
fashion_mnist,cnn2_c8_c16,weight_decay,L2-all (all params),weight_decay,none,0.0005,42,16,0,16,rate_uniform,normal,post_input_if,gaussian,0.75,57.150000,fashion_mnist-checkpoints/cnn2_c8_c16_L[16]_fashion_spectral_mne_cnn2_c8_c16_l2_rcnone_seed42_ep30_L16_trainT0.pth,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/important_results/fashion_cnn2_widths_four_regs_sigma0_3_seed42/cnn2_c8_c16/weight_decay/seed_42/noise_sweep_matrix_fashion_mnist_cnn2_c8_c16_T16_mode_rate_uniform_schedule_normal_seed_42.csv
fashion_mnist,cnn2_c8_c16,weight_decay,L2-all (all params),weight_decay,none,0.0005,42,16,0,16,rate_uniform,normal,post_input_if,gaussian,1,40.610000,fashion_mnist-checkpoints/cnn2_c8_c16_L[16]_fashion_spectral_mne_cnn2_c8_c16_l2_rcnone_seed42_ep30_L16_trainT0.pth,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/important_results/fashion_cnn2_widths_four_regs_sigma0_3_seed42/cnn2_c8_c16/weight_decay/seed_42/noise_sweep_matrix_fashion_mnist_cnn2_c8_c16_T16_mode_rate_uniform_schedule_normal_seed_42.csv
fashion_mnist,cnn2_c8_c16,weight_decay,L2-all (all params),weight_decay,none,0.0005,42,16,0,16,rate_uniform,normal,post_input_if,gaussian,1.25,31.840000,fashion_mnist-checkpoints/cnn2_c8_c16_L[16]_fashion_spectral_mne_cnn2_c8_c16_l2_rcnone_seed42_ep30_L16_trainT0.pth,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/important_results/fashion_cnn2_widths_four_regs_sigma0_3_seed42/cnn2_c8_c16/weight_decay/seed_42/noise_sweep_matrix_fashion_mnist_cnn2_c8_c16_T16_mode_rate_uniform_schedule_normal_seed_42.csv
fashion_mnist,cnn2_c8_c16,weight_decay,L2-all (all params),weight_decay,none,0.0005,42,16,0,16,rate_uniform,normal,post_input_if,gaussian,1.5,26.640000,fashion_mnist-checkpoints/cnn2_c8_c16_L[16]_fashion_spectral_mne_cnn2_c8_c16_l2_rcnone_seed42_ep30_L16_trainT0.pth,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/important_results/fashion_cnn2_widths_four_regs_sigma0_3_seed42/cnn2_c8_c16/weight_decay/seed_42/noise_sweep_matrix_fashion_mnist_cnn2_c8_c16_T16_mode_rate_uniform_schedule_normal_seed_42.csv
fashion_mnist,cnn2_c8_c16,weight_decay,L2-all (all params),weight_decay,none,0.0005,42,16,0,16,rate_uniform,normal,post_input_if,gaussian,1.75,23.410000,fashion_mnist-checkpoints/cnn2_c8_c16_L[16]_fashion_spectral_mne_cnn2_c8_c16_l2_rcnone_seed42_ep30_L16_trainT0.pth,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/important_results/fashion_cnn2_widths_four_regs_sigma0_3_seed42/cnn2_c8_c16/weight_decay/seed_42/noise_sweep_matrix_fashion_mnist_cnn2_c8_c16_T16_mode_rate_uniform_schedule_normal_seed_42.csv
fashion_mnist,cnn2_c8_c16,weight_decay,L2-all (all params),weight_decay,none,0.0005,42,16,0,16,rate_uniform,normal,post_input_if,gaussian,2,20.240000,fashion_mnist-checkpoints/cnn2_c8_c16_L[16]_fashion_spectral_mne_cnn2_c8_c16_l2_rcnone_seed42_ep30_L16_trainT0.pth,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/important_results/fashion_cnn2_widths_four_regs_sigma0_3_seed42/cnn2_c8_c16/weight_decay/seed_42/noise_sweep_matrix_fashion_mnist_cnn2_c8_c16_T16_mode_rate_uniform_schedule_normal_seed_42.csv
fashion_mnist,cnn2_c8_c16,weight_decay,L2-all (all params),weight_decay,none,0.0005,42,16,0,16,rate_uniform,normal,post_input_if,gaussian,2.25,18.030000,fashion_mnist-checkpoints/cnn2_c8_c16_L[16]_fashion_spectral_mne_cnn2_c8_c16_l2_rcnone_seed42_ep30_L16_trainT0.pth,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/important_results/fashion_cnn2_widths_four_regs_sigma0_3_seed42/cnn2_c8_c16/weight_decay/seed_42/noise_sweep_matrix_fashion_mnist_cnn2_c8_c16_T16_mode_rate_uniform_schedule_normal_seed_42.csv
fashion_mnist,cnn2_c8_c16,weight_decay,L2-all (all params),weight_decay,none,0.0005,42,16,0,16,rate_uniform,normal,post_input_if,gaussian,2.5,16.500000,fashion_mnist-checkpoints/cnn2_c8_c16_L[16]_fashion_spectral_mne_cnn2_c8_c16_l2_rcnone_seed42_ep30_L16_trainT0.pth,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/important_results/fashion_cnn2_widths_four_regs_sigma0_3_seed42/cnn2_c8_c16/weight_decay/seed_42/noise_sweep_matrix_fashion_mnist_cnn2_c8_c16_T16_mode_rate_uniform_schedule_normal_seed_42.csv
fashion_mnist,cnn2_c8_c16,weight_decay,L2-all (all params),weight_decay,none,0.0005,42,16,0,16,rate_uniform,normal,post_input_if,gaussian,2.75,15.090000,fashion_mnist-checkpoints/cnn2_c8_c16_L[16]_fashion_spectral_mne_cnn2_c8_c16_l2_rcnone_seed42_ep30_L16_trainT0.pth,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/important_results/fashion_cnn2_widths_four_regs_sigma0_3_seed42/cnn2_c8_c16/weight_decay/seed_42/noise_sweep_matrix_fashion_mnist_cnn2_c8_c16_T16_mode_rate_uniform_schedule_normal_seed_42.csv
fashion_mnist,cnn2_c8_c16,weight_decay,L2-all (all params),weight_decay,none,0.0005,42,16,0,16,rate_uniform,normal,post_input_if,gaussian,3,14.430000,fashion_mnist-checkpoints/cnn2_c8_c16_L[16]_fashion_spectral_mne_cnn2_c8_c16_l2_rcnone_seed42_ep30_L16_trainT0.pth,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/important_results/fashion_cnn2_widths_four_regs_sigma0_3_seed42/cnn2_c8_c16/weight_decay/seed_42/noise_sweep_matrix_fashion_mnist_cnn2_c8_c16_T16_mode_rate_uniform_schedule_normal_seed_42.csv
fashion_mnist,cnn2_c8_c16,weight_decay_weights_only,L2-wo (weights only),weight_decay_weights_only,none,0.0005,42,16,0,16,rate_uniform,normal,post_input_if,gaussian,0,86.600000,fashion_mnist-checkpoints/cnn2_c8_c16_L[16]_fashion_calibrated_mne_cnn2_c8_c16_l2_wo_seed42_ep30_L16.pth,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/important_results/fashion_cnn2_widths_four_regs_sigma0_3_seed42/cnn2_c8_c16/weight_decay_weights_only/seed_42/noise_sweep_matrix_fashion_mnist_cnn2_c8_c16_T16_mode_rate_uniform_schedule_normal_seed_42.csv
fashion_mnist,cnn2_c8_c16,weight_decay_weights_only,L2-wo (weights only),weight_decay_weights_only,none,0.0005,42,16,0,16,rate_uniform,normal,post_input_if,gaussian,0.25,85.170000,fashion_mnist-checkpoints/cnn2_c8_c16_L[16]_fashion_calibrated_mne_cnn2_c8_c16_l2_wo_seed42_ep30_L16.pth,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/important_results/fashion_cnn2_widths_four_regs_sigma0_3_seed42/cnn2_c8_c16/weight_decay_weights_only/seed_42/noise_sweep_matrix_fashion_mnist_cnn2_c8_c16_T16_mode_rate_uniform_schedule_normal_seed_42.csv
fashion_mnist,cnn2_c8_c16,weight_decay_weights_only,L2-wo (weights only),weight_decay_weights_only,none,0.0005,42,16,0,16,rate_uniform,normal,post_input_if,gaussian,0.5,78.770000,fashion_mnist-checkpoints/cnn2_c8_c16_L[16]_fashion_calibrated_mne_cnn2_c8_c16_l2_wo_seed42_ep30_L16.pth,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/important_results/fashion_cnn2_widths_four_regs_sigma0_3_seed42/cnn2_c8_c16/weight_decay_weights_only/seed_42/noise_sweep_matrix_fashion_mnist_cnn2_c8_c16_T16_mode_rate_uniform_schedule_normal_seed_42.csv
fashion_mnist,cnn2_c8_c16,weight_decay_weights_only,L2-wo (weights only),weight_decay_weights_only,none,0.0005,42,16,0,16,rate_uniform,normal,post_input_if,gaussian,0.75,63.830000,fashion_mnist-checkpoints/cnn2_c8_c16_L[16]_fashion_calibrated_mne_cnn2_c8_c16_l2_wo_seed42_ep30_L16.pth,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/important_results/fashion_cnn2_widths_four_regs_sigma0_3_seed42/cnn2_c8_c16/weight_decay_weights_only/seed_42/noise_sweep_matrix_fashion_mnist_cnn2_c8_c16_T16_mode_rate_uniform_schedule_normal_seed_42.csv
fashion_mnist,cnn2_c8_c16,weight_decay_weights_only,L2-wo (weights only),weight_decay_weights_only,none,0.0005,42,16,0,16,rate_uniform,normal,post_input_if,gaussian,1,46.250000,fashion_mnist-checkpoints/cnn2_c8_c16_L[16]_fashion_calibrated_mne_cnn2_c8_c16_l2_wo_seed42_ep30_L16.pth,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/important_results/fashion_cnn2_widths_four_regs_sigma0_3_seed42/cnn2_c8_c16/weight_decay_weights_only/seed_42/noise_sweep_matrix_fashion_mnist_cnn2_c8_c16_T16_mode_rate_uniform_schedule_normal_seed_42.csv
fashion_mnist,cnn2_c8_c16,weight_decay_weights_only,L2-wo (weights only),weight_decay_weights_only,none,0.0005,42,16,0,16,rate_uniform,normal,post_input_if,gaussian,1.25,33.980000,fashion_mnist-checkpoints/cnn2_c8_c16_L[16]_fashion_calibrated_mne_cnn2_c8_c16_l2_wo_seed42_ep30_L16.pth,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/important_results/fashion_cnn2_widths_four_regs_sigma0_3_seed42/cnn2_c8_c16/weight_decay_weights_only/seed_42/noise_sweep_matrix_fashion_mnist_cnn2_c8_c16_T16_mode_rate_uniform_schedule_normal_seed_42.csv
fashion_mnist,cnn2_c8_c16,weight_decay_weights_only,L2-wo (weights only),weight_decay_weights_only,none,0.0005,42,16,0,16,rate_uniform,normal,post_input_if,gaussian,1.5,27.070000,fashion_mnist-checkpoints/cnn2_c8_c16_L[16]_fashion_calibrated_mne_cnn2_c8_c16_l2_wo_seed42_ep30_L16.pth,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/important_results/fashion_cnn2_widths_four_regs_sigma0_3_seed42/cnn2_c8_c16/weight_decay_weights_only/seed_42/noise_sweep_matrix_fashion_mnist_cnn2_c8_c16_T16_mode_rate_uniform_schedule_normal_seed_42.csv
fashion_mnist,cnn2_c8_c16,weight_decay_weights_only,L2-wo (weights only),weight_decay_weights_only,none,0.0005,42,16,0,16,rate_uniform,normal,post_input_if,gaussian,1.75,22.860000,fashion_mnist-checkpoints/cnn2_c8_c16_L[16]_fashion_calibrated_mne_cnn2_c8_c16_l2_wo_seed42_ep30_L16.pth,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/important_results/fashion_cnn2_widths_four_regs_sigma0_3_seed42/cnn2_c8_c16/weight_decay_weights_only/seed_42/noise_sweep_matrix_fashion_mnist_cnn2_c8_c16_T16_mode_rate_uniform_schedule_normal_seed_42.csv
fashion_mnist,cnn2_c8_c16,weight_decay_weights_only,L2-wo (weights only),weight_decay_weights_only,none,0.0005,42,16,0,16,rate_uniform,normal,post_input_if,gaussian,2,19.530000,fashion_mnist-checkpoints/cnn2_c8_c16_L[16]_fashion_calibrated_mne_cnn2_c8_c16_l2_wo_seed42_ep30_L16.pth,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/important_results/fashion_cnn2_widths_four_regs_sigma0_3_seed42/cnn2_c8_c16/weight_decay_weights_only/seed_42/noise_sweep_matrix_fashion_mnist_cnn2_c8_c16_T16_mode_rate_uniform_schedule_normal_seed_42.csv
fashion_mnist,cnn2_c8_c16,weight_decay_weights_only,L2-wo (weights only),weight_decay_weights_only,none,0.0005,42,16,0,16,rate_uniform,normal,post_input_if,gaussian,2.25,17.110000,fashion_mnist-checkpoints/cnn2_c8_c16_L[16]_fashion_calibrated_mne_cnn2_c8_c16_l2_wo_seed42_ep30_L16.pth,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/important_results/fashion_cnn2_widths_four_regs_sigma0_3_seed42/cnn2_c8_c16/weight_decay_weights_only/seed_42/noise_sweep_matrix_fashion_mnist_cnn2_c8_c16_T16_mode_rate_uniform_schedule_normal_seed_42.csv
